events[18]{name,type,tags}:
  パソコン自作への目覚め,living,成長
  中学進学,living,在学
  Scratchでプログラミング体験,living,成長
  高校進学,living,在学
  Pythonでプログラミング独学開始,working,"挑戦, 成長"
  Webアプリ個人開発,working,"挑戦, 成長"
  大学受験,living,"受験, 挑戦"
  大学進学（東京）,living,在学
  プログラミングサークルで切磋琢磨,living,成長
  ハッカソン参加,working,"挑戦, 成長"
  コーヒードリップの趣味,living,"-"
  Webスタートアップでインターン,working,成長
  インターンで信頼を獲得,working,"成長, 達成感"
  就職活動,working,挑戦
  新卒入社・バックエンドチーム配属,working,在職
  本番障害対応の経験,working,成長
  小さな機能の設計を一人で担当,working,"在職, 成長"
  将来のキャリアへの模索,feeling,成長
