events[18]{name,type,strength,tags}:
  パソコン自作への目覚め,living,2,成長
  中学進学,living,1,在学
  Scratchでプログラミング体験,living,2,成長
  高校進学,living,1,在学
  Pythonでプログラミング独学開始,working,3,"挑戦, 成長"
  Webアプリ個人開発,working,3,"挑戦, 成長"
  大学受験,living,3,"受験, 挑戦"
  大学進学（東京）,living,2,在学
  プログラミングサークルで切磋琢磨,living,2,成長
  ハッカソン参加,working,2,"挑戦, 成長"
  コーヒードリップの趣味,living,1,"-"
  Webスタートアップでインターン,working,3,成長
  インターンで信頼を獲得,working,2,"成長, 達成感"
  就職活動,working,3,挑戦
  新卒入社・バックエンドチーム配属,working,2,在職
  本番障害対応の経験,working,2,成長
  小さな機能の設計を一人で担当,working,2,"在職, 成長"
  将来のキャリアへの模索,feeling,2,成長
